Station_number,Year,Month,Day,min,max,Rainfall,Solar_exposure
86344,1998,12,13,13,16,6,-
86344,1998,12,20,15,16,0.6,-
86344,1998,12,21,10,17,10,-
86344,1998,12,26,16.9,17,3,-
86344,1998,12,27,10,14,23,-
86344,1999,2,12,13,21,0.2,-
86344,1999,2,13,19,20,14,-
86344,1999,2,14,18,28,0.2,-
86344,1999,2,18,12,16,2,-
86344,1999,2,19,11,18,1,-
86344,1999,2,24,15,20,4,-
86344,1999,2,25,16,19,0.2,-
86344,1999,3,6,16,22,0.2,-
86344,1999,3,14,13,19,1,-
86344,1999,3,20,16,21,1,-
86344,1999,3,21,18,20,9,-
86344,1999,3,22,12,15,9,-
86344,1999,3,26,18,20,1,-
86344,1999,3,28,8,15,15,-
86344,1999,3,29,12,15,0.2,-
86344,1999,3,31,11,15,0.2,-
86344,1999,4,5,16,18,3,-
86344,1999,4,6,13,15,0.2,-
86344,1999,4,14,14,16,0.6,-
86344,1999,4,15,13,15,1,-
86344,1999,4,16,13,16,0.2,-
86344,1999,4,17,13,15,0.4,-
86344,1999,4,18,13,17,0.2,-
86344,1999,4,21,8,14,5,-
86344,1999,4,22,12,16,0.2,-
86344,1999,4,27,10,14,4,-
86344,1999,5,8,12,15,1,-
86344,1999,10,10,14,17,15,-
86344,1999,10,11,13,16,6,-
86344,1999,10,15,17,21,1,-
86344,1999,10,16,11,17,9,-
86344,1999,10,19,10,14,0.2,-
86344,1999,10,20,10,14,6,-
86344,1999,10,22,9,12,2,-
86344,1999,10,23,8,14,1,-
86344,1999,10,28,11,18,2,-
86344,1999,10,31,11,14,3,-
86344,1999,11,1,10,14,0.2,-
86344,1999,11,6,14,17,5,-
86344,1999,11,7,11,15,3,-
86344,1999,11,8,10,14,0.2,-
86344,1999,11,9,11,14,0.6,-
86344,1999,11,16,8,13,4,-
86344,1999,11,17,10,14,0.4,-
86344,1999,11,22,13,15,1,-
86344,1999,11,24,12,18,0.2,-
86344,1999,11,27,13,20,0.2,-
86344,1999,12,4,15,17,3,-
86344,1999,12,10,9,15,1,-
86344,1999,12,16,16,21,4,-
86344,1999,12,17,10,15,7,-
86344,1999,12,26,17,20,0.6,-
86344,1999,12,27,17,20,39,-
86344,1999,12,28,15,17,14,-
86344,2000,1,4,12,15,5,-
86344,2000,1,5,12.1,16,-,-
86344,2000,1,6,14,17,-,-
86344,2000,1,16,17,18,1,-
86344,2000,1,17,15,24,0.2,-
86344,2000,1,22,11,16,2,-
86344,2000,1,23,10,15,5,-
86344,2000,1,26,15,20,2,-
86344,2000,1,27,15,18,10,-
86344,2000,1,28,15,17,0.2,-
86344,2000,2,4,17,33,-,-
86344,2000,2,11,15,17,7,-
86344,2000,2,12,14,18,0.4,-
86344,2000,2,13,14,21,1,-
86344,2000,2,17,20,32,-,-
86344,2000,2,24,18,25,0.6,-
86344,2000,2,26,18,19,8,-
86344,2000,3,6,15,19,0.2,-
86344,2000,3,14,15,18,0.6,-
86344,2000,3,21,14,21,0.8,-
86344,2000,3,23,11,16,7,-
86344,2000,4,5,13,17,17,-
86344,2000,4,14,17,19,0.4,-
86344,2000,4,15,14,19,0.2,-
86344,2000,4,17,13,17,4,-
86344,2000,4,18,14,19,0.2,-
86344,2000,4,19,13,17,1,-
86344,2000,4,20,13,17,0.2,-
86344,2000,4,21,11,15,3,-
86344,2000,4,22,11,15,0.2,-
86344,2000,4,24,13,15,0.8,-
86344,2000,4,30,13,16,4,-
86344,2000,5,1,12,17,4,-
86344,2000,5,4,13,16,6,-
86344,2000,5,5,14,15,4,-
86344,2000,5,6,10,15,3,-
86344,2000,5,7,12,16,0.2,-
86344,2000,5,9,14,16,0.2,-
86344,2000,5,13,15,17,0.2,-
86344,2000,5,15,11,14,0.2,-
86344,2000,5,16,11,15,3,-
86344,2000,5,17,11,15,2,-
86344,2000,5,21,12,13,0.8,-
86344,2000,6,6,7,13,6,-
86344,2000,6,7,9,12,6,-
86344,2000,6,12,9,11,0.2,-
86344,2000,6,13,8,11,0.8,-
86344,2000,6,14,7,12,1,-
86344,2000,6,21,11,13,1,-
86344,2000,6,23,9,13,2,-
86344,2000,6,24,10,14,0.2,-
86344,2000,6,29,8,13,1,-
86344,2000,6,30,9,13,1,-
86344,2000,7,6,11,13,8,-
86344,2000,7,7,9,12,3,-
86344,2000,7,10,9,13,3,-
86344,2000,7,13,9,12,1,-
86344,2000,7,14,7,11,0.2,-
86344,2000,7,15,8,14,0.4,-
86344,2000,7,19,7,11,8,-
86344,2000,7,20,9,12,2,-
86344,2000,7,21,8,11,3,-
86344,2000,7,24,10,14,0.2,-
86344,2000,7,25,9,12,0.2,-
86344,2000,7,26,6,10,4,-
86344,2000,7,27,5,11,8,-
86344,2000,7,28,9,12,2,-
86344,2000,8,9,9,12,0.6,-
86344,2000,8,10,7,12,0.6,-
86344,2000,8,11,7,12,-,-
